"","Scenario","Location","Vegetation","Year","Decade","Avg"
"1","SRES B1","Alaska","Black Spruce",2009,"2000",179202
"2","SRES B1","Alaska","Black Spruce",2010,"2010",180056
"3","SRES B1","Alaska","Black Spruce",2011,"2010",180954
"4","SRES B1","Alaska","Black Spruce",2012,"2010",182021
"5","SRES B1","Alaska","Black Spruce",2013,"2010",183238
"6","SRES B1","Alaska","Black Spruce",2014,"2010",183945
"7","SRES B1","Alaska","Black Spruce",2015,"2010",184861
"8","SRES B1","Alaska","Black Spruce",2016,"2010",182898
"9","SRES B1","Alaska","Black Spruce",2017,"2010",182802
"10","SRES B1","Alaska","Black Spruce",2018,"2010",183818
"11","SRES B1","Alaska","Black Spruce",2019,"2010",184058
"12","SRES B1","Alaska","Black Spruce",2020,"2020",183842
"13","SRES B1","Alaska","Black Spruce",2021,"2020",185040
"14","SRES B1","Alaska","Black Spruce",2022,"2020",185536
"15","SRES B1","Alaska","Black Spruce",2023,"2020",186089
"16","SRES B1","Alaska","Black Spruce",2024,"2020",183606
"17","SRES B1","Alaska","Black Spruce",2025,"2020",184078
"18","SRES B1","Alaska","Black Spruce",2026,"2020",183700
"19","SRES B1","Alaska","Black Spruce",2027,"2020",184256
"20","SRES B1","Alaska","Black Spruce",2028,"2020",185025
"21","SRES B1","Alaska","Black Spruce",2029,"2020",185066
"22","SRES B1","Alaska","Black Spruce",2030,"2030",186300
"23","SRES B1","Alaska","Black Spruce",2031,"2030",187347
"24","SRES B1","Alaska","Black Spruce",2032,"2030",187880
"25","SRES B1","Alaska","Black Spruce",2033,"2030",184160
"26","SRES B1","Alaska","Black Spruce",2034,"2030",182756
"27","SRES B1","Alaska","Black Spruce",2035,"2030",183209
"28","SRES B1","Alaska","Black Spruce",2036,"2030",183888
"29","SRES B1","Alaska","Black Spruce",2037,"2030",184696
"30","SRES B1","Alaska","Black Spruce",2038,"2030",184504
"31","SRES B1","Alaska","Black Spruce",2039,"2030",184558
"32","SRES B1","Alaska","Black Spruce",2040,"2040",184822
"33","SRES B1","Alaska","Black Spruce",2041,"2040",185710
"34","SRES B1","Alaska","Black Spruce",2042,"2040",186322
"35","SRES B1","Alaska","Black Spruce",2043,"2040",187378
"36","SRES B1","Alaska","Black Spruce",2044,"2040",188159
"37","SRES B1","Alaska","Black Spruce",2045,"2040",188420
"38","SRES B1","Alaska","Black Spruce",2046,"2040",188955
"39","SRES B1","Alaska","Black Spruce",2047,"2040",189592
"40","SRES B1","Alaska","Black Spruce",2048,"2040",190302
"41","SRES B1","Alaska","Black Spruce",2049,"2040",188700
"42","SRES B1","Alaska","Black Spruce",2050,"2050",189480
"43","SRES B1","Alaska","Black Spruce",2051,"2050",190116
"44","SRES B1","Alaska","Black Spruce",2052,"2050",190451
"45","SRES B1","Alaska","Black Spruce",2053,"2050",189567
"46","SRES B1","Alaska","Black Spruce",2054,"2050",190216
"47","SRES B1","Alaska","Black Spruce",2055,"2050",191228
"48","SRES B1","Alaska","Black Spruce",2056,"2050",190169
"49","SRES B1","Alaska","Black Spruce",2057,"2050",190909
"50","SRES B1","Alaska","Black Spruce",2058,"2050",191564
"51","SRES B1","Alaska","Black Spruce",2059,"2050",191235
"52","SRES B1","Alaska","Black Spruce",2060,"2060",192193
"53","SRES B1","Alaska","Black Spruce",2061,"2060",192711
"54","SRES B1","Alaska","Black Spruce",2062,"2060",193873
"55","SRES B1","Alaska","Black Spruce",2063,"2060",193087
"56","SRES B1","Alaska","Black Spruce",2064,"2060",193931
"57","SRES B1","Alaska","Black Spruce",2065,"2060",194949
"58","SRES B1","Alaska","Black Spruce",2066,"2060",196151
"59","SRES B1","Alaska","Black Spruce",2067,"2060",193532
"60","SRES B1","Alaska","Black Spruce",2068,"2060",192395
"61","SRES B1","Alaska","Black Spruce",2069,"2060",192450
"62","SRES B1","Alaska","Black Spruce",2070,"2070",193859
"63","SRES B1","Alaska","Black Spruce",2071,"2070",193377
"64","SRES B1","Alaska","Black Spruce",2072,"2070",192936
"65","SRES B1","Alaska","Black Spruce",2073,"2070",192944
"66","SRES B1","Alaska","Black Spruce",2074,"2070",188627
"67","SRES B1","Alaska","Black Spruce",2075,"2070",188202
"68","SRES B1","Alaska","Black Spruce",2076,"2070",187420
"69","SRES B1","Alaska","Black Spruce",2077,"2070",184684
"70","SRES B1","Alaska","Black Spruce",2078,"2070",183786
"71","SRES B1","Alaska","Black Spruce",2079,"2070",185026
"72","SRES B1","Alaska","Black Spruce",2080,"2080",186516
"73","SRES B1","Alaska","Black Spruce",2081,"2080",187036
"74","SRES B1","Alaska","Black Spruce",2082,"2080",187400
"75","SRES B1","Alaska","Black Spruce",2083,"2080",188216
"76","SRES B1","Alaska","Black Spruce",2084,"2080",187920
"77","SRES B1","Alaska","Black Spruce",2085,"2080",188803
"78","SRES B1","Alaska","Black Spruce",2086,"2080",187148
"79","SRES B1","Alaska","Black Spruce",2087,"2080",187540
"80","SRES B1","Alaska","Black Spruce",2088,"2080",187995
"81","SRES B1","Alaska","Black Spruce",2089,"2080",185382
"82","SRES B1","Alaska","Black Spruce",2090,"2090",186423
"83","SRES B1","Alaska","Black Spruce",2091,"2090",187557
"84","SRES B1","Alaska","Black Spruce",2092,"2090",187733
"85","SRES B1","Alaska","Black Spruce",2093,"2090",185472
"86","SRES B1","Alaska","Black Spruce",2094,"2090",184501
"87","SRES B1","Alaska","Black Spruce",2095,"2090",185580
"88","SRES B1","Alaska","Black Spruce",2096,"2090",185702
"89","SRES B1","Alaska","Black Spruce",2097,"2090",183773
"90","SRES B1","Alaska","Black Spruce",2098,"2090",185012
"91","SRES B1","Alaska","Black Spruce",2099,"2090",183213
"92","SRES B1","Alaska","Black Spruce",2100,"2100",182575
"93","SRES B1","Alaska","Deciduous",2009,"2000",303803
"94","SRES B1","Alaska","Deciduous",2010,"2010",302166
"95","SRES B1","Alaska","Deciduous",2011,"2010",301101
"96","SRES B1","Alaska","Deciduous",2012,"2010",298613
"97","SRES B1","Alaska","Deciduous",2013,"2010",297373
"98","SRES B1","Alaska","Deciduous",2014,"2010",295574
"99","SRES B1","Alaska","Deciduous",2015,"2010",293951
"100","SRES B1","Alaska","Deciduous",2016,"2010",297458
"101","SRES B1","Alaska","Deciduous",2017,"2010",298426
"102","SRES B1","Alaska","Deciduous",2018,"2010",296069
"103","SRES B1","Alaska","Deciduous",2019,"2010",295899
"104","SRES B1","Alaska","Deciduous",2020,"2020",295881
"105","SRES B1","Alaska","Deciduous",2021,"2020",294247
"106","SRES B1","Alaska","Deciduous",2022,"2020",292746
"107","SRES B1","Alaska","Deciduous",2023,"2020",292126
"108","SRES B1","Alaska","Deciduous",2024,"2020",296675
"109","SRES B1","Alaska","Deciduous",2025,"2020",296153
"110","SRES B1","Alaska","Deciduous",2026,"2020",295532
"111","SRES B1","Alaska","Deciduous",2027,"2020",295309
"112","SRES B1","Alaska","Deciduous",2028,"2020",293619
"113","SRES B1","Alaska","Deciduous",2029,"2020",292848
"114","SRES B1","Alaska","Deciduous",2030,"2030",291078
"115","SRES B1","Alaska","Deciduous",2031,"2030",288785
"116","SRES B1","Alaska","Deciduous",2032,"2030",288797
"117","SRES B1","Alaska","Deciduous",2033,"2030",295608
"118","SRES B1","Alaska","Deciduous",2034,"2030",297834
"119","SRES B1","Alaska","Deciduous",2035,"2030",296549
"120","SRES B1","Alaska","Deciduous",2036,"2030",295527
"121","SRES B1","Alaska","Deciduous",2037,"2030",294004
"122","SRES B1","Alaska","Deciduous",2038,"2030",294032
"123","SRES B1","Alaska","Deciduous",2039,"2030",295177
"124","SRES B1","Alaska","Deciduous",2040,"2040",293999
"125","SRES B1","Alaska","Deciduous",2041,"2040",292124
"126","SRES B1","Alaska","Deciduous",2042,"2040",290573
"127","SRES B1","Alaska","Deciduous",2043,"2040",289368
"128","SRES B1","Alaska","Deciduous",2044,"2040",287700
"129","SRES B1","Alaska","Deciduous",2045,"2040",287233
"130","SRES B1","Alaska","Deciduous",2046,"2040",286175
"131","SRES B1","Alaska","Deciduous",2047,"2040",284944
"132","SRES B1","Alaska","Deciduous",2048,"2040",284276
"133","SRES B1","Alaska","Deciduous",2049,"2040",287969
"134","SRES B1","Alaska","Deciduous",2050,"2050",285154
"135","SRES B1","Alaska","Deciduous",2051,"2050",285368
"136","SRES B1","Alaska","Deciduous",2052,"2050",284393
"137","SRES B1","Alaska","Deciduous",2053,"2050",286630
"138","SRES B1","Alaska","Deciduous",2054,"2050",285351
"139","SRES B1","Alaska","Deciduous",2055,"2050",283728
"140","SRES B1","Alaska","Deciduous",2056,"2050",286287
"141","SRES B1","Alaska","Deciduous",2057,"2050",284459
"142","SRES B1","Alaska","Deciduous",2058,"2050",283048
"143","SRES B1","Alaska","Deciduous",2059,"2050",284617
"144","SRES B1","Alaska","Deciduous",2060,"2060",282821
"145","SRES B1","Alaska","Deciduous",2061,"2060",282153
"146","SRES B1","Alaska","Deciduous",2062,"2060",280770
"147","SRES B1","Alaska","Deciduous",2063,"2060",282406
"148","SRES B1","Alaska","Deciduous",2064,"2060",281365
"149","SRES B1","Alaska","Deciduous",2065,"2060",279945
"150","SRES B1","Alaska","Deciduous",2066,"2060",277867
"151","SRES B1","Alaska","Deciduous",2067,"2060",282685
"152","SRES B1","Alaska","Deciduous",2068,"2060",286203
"153","SRES B1","Alaska","Deciduous",2069,"2060",286928
"154","SRES B1","Alaska","Deciduous",2070,"2070",284317
"155","SRES B1","Alaska","Deciduous",2071,"2070",285670
"156","SRES B1","Alaska","Deciduous",2072,"2070",286904
"157","SRES B1","Alaska","Deciduous",2073,"2070",287380
"158","SRES B1","Alaska","Deciduous",2074,"2070",296974
"159","SRES B1","Alaska","Deciduous",2075,"2070",297492
"160","SRES B1","Alaska","Deciduous",2076,"2070",299738
"161","SRES B1","Alaska","Deciduous",2077,"2070",305005
"162","SRES B1","Alaska","Deciduous",2078,"2070",307687
"163","SRES B1","Alaska","Deciduous",2079,"2070",305324
"164","SRES B1","Alaska","Deciduous",2080,"2080",302725
"165","SRES B1","Alaska","Deciduous",2081,"2080",302034
"166","SRES B1","Alaska","Deciduous",2082,"2080",301235
"167","SRES B1","Alaska","Deciduous",2083,"2080",299688
"168","SRES B1","Alaska","Deciduous",2084,"2080",301182
"169","SRES B1","Alaska","Deciduous",2085,"2080",299014
"170","SRES B1","Alaska","Deciduous",2086,"2080",302545
"171","SRES B1","Alaska","Deciduous",2087,"2080",301639
"172","SRES B1","Alaska","Deciduous",2088,"2080",300515
"173","SRES B1","Alaska","Deciduous",2089,"2080",306480
"174","SRES B1","Alaska","Deciduous",2090,"2090",304463
"175","SRES B1","Alaska","Deciduous",2091,"2090",302861
"176","SRES B1","Alaska","Deciduous",2092,"2090",301600
"177","SRES B1","Alaska","Deciduous",2093,"2090",305933
"178","SRES B1","Alaska","Deciduous",2094,"2090",308186
"179","SRES B1","Alaska","Deciduous",2095,"2090",306530
"180","SRES B1","Alaska","Deciduous",2096,"2090",306056
"181","SRES B1","Alaska","Deciduous",2097,"2090",309285
"182","SRES B1","Alaska","Deciduous",2098,"2090",306960
"183","SRES B1","Alaska","Deciduous",2099,"2090",309951
"184","SRES B1","Alaska","Deciduous",2100,"2100",311020
"185","SRES B1","Alaska","Graminoid Tundra",2009,"2000",146795
"186","SRES B1","Alaska","Graminoid Tundra",2010,"2010",146443
"187","SRES B1","Alaska","Graminoid Tundra",2011,"2010",146292
"188","SRES B1","Alaska","Graminoid Tundra",2012,"2010",145988
"189","SRES B1","Alaska","Graminoid Tundra",2013,"2010",145683
