"","Scenario","Location","Vegetation","Year","Decade","Avg"
"1","SRES B1","Alaska","Black Spruce",2009,"2000",179515
"2","SRES B1","Alaska","Black Spruce",2010,"2010",180784
"3","SRES B1","Alaska","Black Spruce",2011,"2010",179908
"4","SRES B1","Alaska","Black Spruce",2012,"2010",174170
"5","SRES B1","Alaska","Black Spruce",2013,"2010",173260
"6","SRES B1","Alaska","Black Spruce",2014,"2010",174500
"7","SRES B1","Alaska","Black Spruce",2015,"2010",174831
"8","SRES B1","Alaska","Black Spruce",2016,"2010",173017
"9","SRES B1","Alaska","Black Spruce",2017,"2010",174599
"10","SRES B1","Alaska","Black Spruce",2018,"2010",175665
"11","SRES B1","Alaska","Black Spruce",2019,"2010",176563
"12","SRES B1","Alaska","Black Spruce",2020,"2020",172193
"13","SRES B1","Alaska","Black Spruce",2021,"2020",173482
"14","SRES B1","Alaska","Black Spruce",2022,"2020",174468
"15","SRES B1","Alaska","Black Spruce",2023,"2020",174645
"16","SRES B1","Alaska","Black Spruce",2024,"2020",172671
"17","SRES B1","Alaska","Black Spruce",2025,"2020",155171
"18","SRES B1","Alaska","Black Spruce",2026,"2020",155370
"19","SRES B1","Alaska","Black Spruce",2027,"2020",156699
"20","SRES B1","Alaska","Black Spruce",2028,"2020",155857
"21","SRES B1","Alaska","Black Spruce",2029,"2020",156721
"22","SRES B1","Alaska","Black Spruce",2030,"2030",157965
"23","SRES B1","Alaska","Black Spruce",2031,"2030",159128
"24","SRES B1","Alaska","Black Spruce",2032,"2030",155320
"25","SRES B1","Alaska","Black Spruce",2033,"2030",156173
"26","SRES B1","Alaska","Black Spruce",2034,"2030",157466
"27","SRES B1","Alaska","Black Spruce",2035,"2030",153385
"28","SRES B1","Alaska","Black Spruce",2036,"2030",152082
"29","SRES B1","Alaska","Black Spruce",2037,"2030",153009
"30","SRES B1","Alaska","Black Spruce",2038,"2030",153101
"31","SRES B1","Alaska","Black Spruce",2039,"2030",153963
"32","SRES B1","Alaska","Black Spruce",2040,"2040",153800
"33","SRES B1","Alaska","Black Spruce",2041,"2040",154255
"34","SRES B1","Alaska","Black Spruce",2042,"2040",155051
